,from,from_rounded,from_location,to_haven,trip_ID,vessel_mmsi,geometry
10200,2022-09-04 15:08:59+00:00,2022-09-04 15:00:00+00:00,"[4.08717, 51.96633]",AMAZ,5812,636092930,POINT (4.08717 51.96633)
10201,2022-09-04 14:13:28+00:00,2022-09-04 14:00:00+00:00,"[4.19024, 51.93333]",7PET,5813,636019913,POINT (4.19024 51.93333)
10202,2022-09-04 12:17:25+00:00,2022-09-04 12:00:00+00:00,"[3.98879, 51.97265]",7PET,5813,636019913,POINT (3.98879 51.97265)
10203,2022-09-04 12:42:41+00:00,2022-09-04 13:00:00+00:00,"[3.9912, 51.97376]",7PET,5813,636019913,POINT (3.9912 51.97376)
10206,2022-09-04 15:49:20+00:00,2022-09-04 16:00:00+00:00,"[4.37812, 51.89793]",PWAH,5815,255805553,POINT (4.37812 51.89793)
10211,2022-09-04 17:19:57+00:00,2022-09-04 17:00:00+00:00,"[4.39732, 51.89711]",IJSS,5818,636009894,POINT (4.39732 51.89711)
10212,2022-09-04 17:19:55+00:00,2022-09-04 17:00:00+00:00,"[4.39732, 51.89711]",IJSS,5818,636009894,POINT (4.39732 51.89711)
10220,2022-09-04 17:55:09+00:00,2022-09-04 18:00:00+00:00,"[4.05673, 51.98558]",MISS,5823,241317000,POINT (4.05673 51.98558)
10221,2022-09-04 17:55:06+00:00,2022-09-04 18:00:00+00:00,"[4.05673, 51.98558]",MISS,5823,241317000,POINT (4.05673 51.98558)
10223,2022-09-04 18:40:27+00:00,2022-09-04 19:00:00+00:00,"[4.38529, 51.89671]",WAAL,5825,566402000,POINT (4.38529 51.89671)
10224,2022-09-04 18:45:28+00:00,2022-09-04 19:00:00+00:00,"[4.40081, 51.89776]",WAAL,5825,566402000,POINT (4.40081 51.89776)
10225,2022-09-04 16:49:49+00:00,2022-09-04 17:00:00+00:00,"[4.16153, 51.94503]",5PET,5826,477737900,POINT (4.16153 51.94503)
10226,2022-09-04 16:39:47+00:00,2022-09-04 17:00:00+00:00,"[4.05031, 51.9883]",5PET,5826,477737900,POINT (4.05031 51.9883)
10227,2022-09-04 16:49:43+00:00,2022-09-04 17:00:00+00:00,"[4.07188, 51.98132]",5PET,5826,477737900,POINT (4.07188 51.98132)
10228,2022-09-04 16:59:50+00:00,2022-09-04 17:00:00+00:00,"[4.09242, 51.97498]",5PET,5826,477737900,POINT (4.09242 51.97498)
10229,2022-09-04 19:46:19+00:00,2022-09-04 20:00:00+00:00,"[4.16911, 51.94326]",CKVTTI,5827,636016595,POINT (4.16911 51.94326)
10230,2022-09-04 18:45:29+00:00,2022-09-04 19:00:00+00:00,"[4.06675, 51.98284]",LNG,5828,311038700,POINT (4.06675 51.98284)
10231,2022-09-04 18:45:29+00:00,2022-09-04 19:00:00+00:00,"[4.06675, 51.98284]",LNG,5828,311038700,POINT (4.06675 51.98284)
10232,2022-09-04 18:45:23+00:00,2022-09-04 19:00:00+00:00,"[4.06675, 51.98284]",LNG,5828,311038700,POINT (4.06675 51.98284)
