,to,to_rounded,to_location,from_haven,trip_ID,vessel_mmsi,geometry
13928,2022-10-06 01:13:50+00:00,2022-10-06 01:00:00+00:00,"[4.07633, 51.95967]",AMAZ,7980,212748000,POINT (4.07633 51.95967)
13930,2022-10-06 02:58:30+00:00,2022-10-06 02:00:00+00:00,"[4.35087, 51.89853]",2PET,7982,314445000,POINT (4.35087 51.89853)
13931,2022-10-06 02:58:37+00:00,2022-10-06 02:00:00+00:00,"[4.35087, 51.89853]",2PET,7982,314445000,POINT (4.35087 51.89853)
13932,2022-10-06 02:55:03+00:00,2022-10-06 00:00:00+00:00,"[4.07622, 51.96168]",AMALIA,7983,636092711,POINT (4.07622 51.96168)
13933,2022-10-06 02:34:50+00:00,2022-10-06 00:00:00+00:00,"[4.0502, 51.9682]",AMALIA,7983,636092711,POINT (4.0502 51.9682)
13934,2022-10-06 03:55:41+00:00,2022-10-06 03:00:00+00:00,"[4.0594, 51.96466]",YANG,7984,212792000,POINT (4.0594 51.96466)
13940,2022-10-06 04:46:32+00:00,2022-10-06 04:00:00+00:00,"[4.05487, 51.93614]",HART,7988,314292000,POINT (4.05487 51.93614)
13941,2022-10-06 04:46:37+00:00,2022-10-06 04:00:00+00:00,"[4.05487, 51.93614]",HART,7988,314292000,POINT (4.05487 51.93614)
13942,2022-10-06 04:36:20+00:00,2022-10-06 03:00:00+00:00,"[4.04777, 51.96842]",AMALIA,7989,219018271,POINT (4.04777 51.96842)
13943,2022-10-06 05:12:18+00:00,2022-10-06 03:00:00+00:00,"[4.05705, 51.98713]",AMALIA,7989,219018271,POINT (4.05705 51.98713)
13944,2022-10-06 05:02:15+00:00,2022-10-06 03:00:00+00:00,"[4.0882, 51.9743]",AMALIA,7989,219018271,POINT (4.0882 51.9743)
13945,2022-10-06 04:58:35+00:00,2022-10-06 04:00:00+00:00,"[4.35892, 51.89967]",NMSTAD,7990,304343000,POINT (4.35892 51.89967)
13948,2022-10-06 05:43:14+00:00,2022-10-06 05:00:00+00:00,"[4.19194, 51.93352]",CKVTTI,7992,538009779,POINT (4.19194 51.93352)
13949,2022-10-06 05:43:16+00:00,2022-10-06 05:00:00+00:00,"[4.19194, 51.93352]",CKVTTI,7992,538009779,POINT (4.19194 51.93352)
13950,2022-10-06 06:03:50+00:00,2022-10-06 05:00:00+00:00,"[4.30205, 51.89581]",3PET,7993,248439000,POINT (4.30205 51.89581)
13952,2022-10-06 06:33:56+00:00,2022-10-06 06:00:00+00:00,"[4.12871, 51.95148]",BENE,7995,275529000,POINT (4.12871 51.95148)
13953,2022-10-06 06:48:53+00:00,2022-10-06 05:00:00+00:00,"[4.29354, 51.89721]",BOTL,7996,566699000,POINT (4.29354 51.89721)
13954,2022-10-06 06:48:57+00:00,2022-10-06 06:00:00+00:00,"[4.29354, 51.89721]",BOTL,7996,566699000,POINT (4.29354 51.89721)
13957,2022-10-06 07:34:56+00:00,2022-10-06 06:00:00+00:00,"[4.21904, 51.9178]",BRITH,7998,372424000,POINT (4.21904 51.9178)
13958,2022-10-06 07:24:24+00:00,2022-10-06 06:00:00+00:00,"[4.22533, 51.90856]",BRITH,7998,372424000,POINT (4.22533 51.90856)
13959,2022-10-06 08:04:58+00:00,2022-10-06 07:00:00+00:00,"[4.08795, 51.96682]",YANG,7999,636020499,POINT (4.08795 51.96682)
13960,2022-10-06 08:05:00+00:00,2022-10-06 07:00:00+00:00,"[4.08795, 51.96682]",YANG,7999,636020499,POINT (4.08795 51.96682)
13961,2022-10-06 08:04:58+00:00,2022-10-06 07:00:00+00:00,"[4.08795, 51.96682]",YANG,7999,636020499,POINT (4.08795 51.96682)
13972,2022-10-06 10:37:16+00:00,2022-10-06 10:00:00+00:00,"[4.40078, 51.89844]",IJSS,8005,636011527,POINT (4.40078 51.89844)
13973,2022-10-06 10:58:37+00:00,2022-10-06 10:00:00+00:00,"[4.33533, 51.89467]",IJSS,8005,636011527,POINT (4.33533 51.89467)
13978,2022-10-06 11:42:49+00:00,2022-10-06 11:00:00+00:00,"[4.15147, 51.95304]",5PET,8008,538007154,POINT (4.15147 51.95304)
13979,2022-10-06 11:53:15+00:00,2022-10-06 11:00:00+00:00,"[4.12338, 51.96587]",5PET,8008,538007154,POINT (4.12338 51.96587)
13980,2022-10-06 11:32:58+00:00,2022-10-06 11:00:00+00:00,"[4.08055, 51.96178]",EURO,8009,477581400,POINT (4.08055 51.96178)
13981,2022-10-06 12:18:56+00:00,2022-10-06 11:00:00+00:00,"[4.28489, 51.89963]",CHEM,8010,229770000,POINT (4.28489 51.89963)
13982,2022-10-06 12:18:57+00:00,2022-10-06 11:00:00+00:00,"[4.28489, 51.89963]",CHEM,8010,229770000,POINT (4.28489 51.89963)
13983,2022-10-06 12:08:15+00:00,2022-10-06 11:00:00+00:00,"[4.37488, 51.89938]",WAAL,8011,236329000,POINT (4.37488 51.89938)
13984,2022-10-06 12:54:16+00:00,2022-10-06 12:00:00+00:00,"[4.33227, 51.89478]",1PET,8012,548911000,POINT (4.33227 51.89478)
13987,2022-10-06 13:04:46+00:00,2022-10-06 12:00:00+00:00,"[4.29886, 51.89545]",3PET,8014,636019720,POINT (4.29886 51.89545)
13988,2022-10-06 13:24:46+00:00,2022-10-06 12:00:00+00:00,"[4.23205, 51.92193]",3PET,8014,636019720,POINT (4.23205 51.92193)
13992,2022-10-06 13:44:58+00:00,2022-10-06 12:00:00+00:00,"[4.0485, 51.99017]",BEERK,8017,316023651,POINT (4.0485 51.99017)
13994,2022-10-06 13:55:00+00:00,2022-10-06 13:00:00+00:00,"[4.19127, 51.93397]",7PET,8019,566725000,POINT (4.19127 51.93397)
13996,2022-10-06 15:05:35+00:00,2022-10-06 15:00:00+00:00,"[4.34188, 51.89291]",1PET,8021,255805753,POINT (4.34188 51.89291)
14008,2022-10-06 18:58:36+00:00,2022-10-06 18:00:00+00:00,"[4.35797, 51.8995]",PWAH,8027,255805553,POINT (4.35797 51.8995)
14012,2022-10-06 20:41:10+00:00,2022-10-06 19:00:00+00:00,"[4.17977, 51.93873]",7PET,8030,249848000,POINT (4.17977 51.93873)
14013,2022-10-06 20:41:11+00:00,2022-10-06 19:00:00+00:00,"[4.17977, 51.93873]",7PET,8030,249848000,POINT (4.17977 51.93873)
14014,2022-10-06 20:51:12+00:00,2022-10-06 19:00:00+00:00,"[4.08583, 51.96331]",AMAZ,8031,538007360,POINT (4.08583 51.96331)
14015,2022-10-06 20:51:16+00:00,2022-10-06 18:00:00+00:00,"[4.08583, 51.96331]",AMAZ,8031,538007360,POINT (4.08583 51.96331)
14016,2022-10-06 21:26:52+00:00,2022-10-06 20:00:00+00:00,"[4.10965, 51.97026]",SCHEUR,8032,235074621,POINT (4.10965 51.97026)
