device_mmsi,Lenght,Width,Type
211344860,12,3,sailing
244660215,20,6,cargo
211380740,16,4,other
244670351,105,11,cargo
244090869,10,3,sailing
220637000,102,18,tanker
244003003,15,4,other
244780382,34,6,other
255806310,142,24,cargo
244026203,0,0,sailing
248352000,29,13,other
215683000,120,17,tanker
229375000,269,32,cargo
255775000,134,22,cargo
261001171,10,4,other
255805897,300,48,cargo
538006708,179,28,cargo
228038360,400,62,cargo
244194913,10,4,sailing
209696000,141,22,cargo
311000634,299,50,tanker
205432590,75,8,cargo
245872000,142,21,cargo
211589800,110,11,tanker
244050240,158,36,other
244085392,10,4,other
244153306,9,4,other
243042557,110,10,cargo
244690774,13,4,sailing
211511390,135,12,cargo
244780174,60,9,other
314222000,91,14,cargo
636020188,183,32,tanker
211173680,110,12,tanker
305478000,83,13,cargo
244620941,105,12,other
538005699,180,32,cargo
236399000,80,16,tanker
244050042,14,4,other
205274590,84,10,cargo
211542340,10,4,sailing
265696470,13,4,sailing
244690773,60,7,cargo
248729000,194,32,other
566179000,178,28,tanker
244670652,15,4,other
244726879,14,4,sailing
205697410,11,3,sailing
356335000,289,45,cargo
244010873,95,13,cargo
244660499,82,11,tanker
256398000,148,21,tanker
211738130,110,12,tanker
304050982,108,18,tanker
352980840,0,0,other
244650855,106,10,other
244700743,57,8,cargo
